Bandit,Reward,Algorithm
3,4.632874623565024,Epsilon Greedy
3,4.278178192732472,Epsilon Greedy
3,3.9432263103379612,Epsilon Greedy
3,4.552673990925637,Epsilon Greedy
3,5.511598263730262,Epsilon Greedy
3,5.214301225651047,Epsilon Greedy
3,2.364502989775773,Epsilon Greedy
3,4.224063317655038,Epsilon Greedy
3,3.8715603765505193,Epsilon Greedy
3,3.2166810611937278,Epsilon Greedy
3,1.2179162851164236,Epsilon Greedy
3,5.8098117494005646,Epsilon Greedy
3,3.4697085328152206,Epsilon Greedy
3,2.9236174701475726,Epsilon Greedy
3,4.6987840514090085,Epsilon Greedy
3,3.648626372029932,Epsilon Greedy
3,3.8296362895473504,Epsilon Greedy
3,5.340447480687814,Epsilon Greedy
3,2.9946657313703233,Epsilon Greedy
3,3.2786823765635935,Epsilon Greedy
3,4.09846230268611,Epsilon Greedy
3,3.760222651520544,Epsilon Greedy
3,2.865650758913591,Epsilon Greedy
3,3.3160030332268438,Epsilon Greedy
3,2.7313351652596145,Epsilon Greedy
3,4.189876035438981,Epsilon Greedy
3,4.571690094429688,Epsilon Greedy
3,4.647636125811742,Epsilon Greedy
3,2.5496086216968266,Epsilon Greedy
3,3.0077272273886733,Epsilon Greedy
3,4.179676872458896,Epsilon Greedy
3,3.556613863927732,Epsilon Greedy
3,3.0991616212261177,Epsilon Greedy
3,4.223785177466421,Epsilon Greedy
3,2.669338366280315,Epsilon Greedy
3,2.5516419169154734,Epsilon Greedy
3,2.4243363476760917,Epsilon Greedy
3,4.058446092663261,Epsilon Greedy
3,2.6243277210574476,Epsilon Greedy
3,5.437514719614018,Epsilon Greedy
3,4.194001396532805,Epsilon Greedy
3,4.076462954645798,Epsilon Greedy
3,3.6960743324439287,Epsilon Greedy
3,3.9348236374054038,Epsilon Greedy
1,3.5634807515435076,Epsilon Greedy
3,3.0393895300590374,Epsilon Greedy
3,5.096834493228105,Epsilon Greedy
3,4.7205113481037015,Epsilon Greedy
3,2.8739909526242564,Epsilon Greedy
3,4.587668880944911,Epsilon Greedy
3,1.8397435972580665,Epsilon Greedy
3,4.449550098974527,Epsilon Greedy
3,3.483077398544699,Epsilon Greedy
3,3.0386452834632887,Epsilon Greedy
3,3.6647870441521944,Epsilon Greedy
3,3.7753593624673645,Epsilon Greedy
3,2.4076769987333995,Epsilon Greedy
3,4.629674576633115,Epsilon Greedy
3,3.5239671184248955,Epsilon Greedy
3,4.398558435105099,Epsilon Greedy
3,4.928095718726484,Epsilon Greedy
3,4.445064759801009,Epsilon Greedy
3,3.706565119267593,Epsilon Greedy
3,4.229958450115263,Epsilon Greedy
3,3.579807412442787,Epsilon Greedy
3,6.172895796003149,Epsilon Greedy
3,5.331886305308469,Epsilon Greedy
3,4.457036751086529,Epsilon Greedy
3,4.760301227848704,Epsilon Greedy
3,5.174308569570506,Epsilon Greedy
3,3.587837987162937,Epsilon Greedy
3,3.5255529730783084,Epsilon Greedy
3,2.49381273803841,Epsilon Greedy
3,3.0381325942907997,Epsilon Greedy
3,3.725722925297466,Epsilon Greedy
3,4.227594387006138,Epsilon Greedy
3,3.1974895566158668,Epsilon Greedy
3,4.8472484206418445,Epsilon Greedy
3,4.406627442088219,Epsilon Greedy
3,2.9045286721838344,Epsilon Greedy
3,2.760672634050823,Epsilon Greedy
3,4.265652964218415,Epsilon Greedy
3,4.8555118443778555,Epsilon Greedy
3,3.9578992104365986,Epsilon Greedy
3,5.325469640383398,Epsilon Greedy
3,2.35484824060938,Epsilon Greedy
3,3.1260182026488166,Epsilon Greedy
3,3.623987755711625,Epsilon Greedy
3,3.3085386288886527,Epsilon Greedy
3,2.2447632128684374,Epsilon Greedy
3,4.785419925349838,Epsilon Greedy
3,4.757009476904395,Epsilon Greedy
3,3.2828685619048374,Epsilon Greedy
3,3.6496379334308497,Epsilon Greedy
3,3.3224974075440965,Epsilon Greedy
3,3.901188608213225,Epsilon Greedy
3,2.7765510305608956,Epsilon Greedy
3,3.7364960933473026,Epsilon Greedy
3,4.566718351008377,Epsilon Greedy
3,3.711086797514407,Epsilon Greedy
3,3.9306274480045684,Epsilon Greedy
3,2.4542400319833346,Epsilon Greedy
3,4.579316264035802,Epsilon Greedy
3,2.9998258481274704,Epsilon Greedy
3,4.924158095020138,Epsilon Greedy
3,4.215618079978047,Epsilon Greedy
3,2.9959952734408835,Epsilon Greedy
3,5.947728029249181,Epsilon Greedy
3,3.3288019662348,Epsilon Greedy
3,3.0412148372310925,Epsilon Greedy
3,3.7510752436024024,Epsilon Greedy
3,1.6933507184300742,Epsilon Greedy
3,4.694468656135872,Epsilon Greedy
3,5.3028919542293735,Epsilon Greedy
3,2.781767521947633,Epsilon Greedy
3,2.885471715969221,Epsilon Greedy
3,3.596792846107234,Epsilon Greedy
3,4.4517326470446035,Epsilon Greedy
3,3.073381501968233,Epsilon Greedy
3,3.014502647224581,Epsilon Greedy
